localidad;provincia;ccaa;país
Gascueña de Bornova;Guadalajara;Castilla La Mancha;España
Guadalajara;Guadalajara;Castilla La Mancha;España
Henche;Guadalajara;Castilla La Mancha;España
Heras de Ayuso;Guadalajara;Castilla La Mancha;España
Herrería;Guadalajara;Castilla La Mancha;España
Hiendelaencina;Guadalajara;Castilla La Mancha;España
Hijes;Guadalajara;Castilla La Mancha;España
Hita;Guadalajara;Castilla La Mancha;España
Hombrados;Guadalajara;Castilla La Mancha;España
Hontoba;Guadalajara;Castilla La Mancha;España
Horche;Guadalajara;Castilla La Mancha;España
Hortezuela de Océn;Guadalajara;Castilla La Mancha;España
Huerce (La);Guadalajara;Castilla La Mancha;España
Huérmeces del Cerro;Guadalajara;Castilla La Mancha;España
Huertahernando;Guadalajara;Castilla La Mancha;España
Hueva;Guadalajara;Castilla La Mancha;España
Humanes;Guadalajara;Castilla La Mancha;España
Illana;Guadalajara;Castilla La Mancha;España
Iniéstola;Guadalajara;Castilla La Mancha;España
Inviernas (Las);Guadalajara;Castilla La Mancha;España
Irueste;Guadalajara;Castilla La Mancha;España
Jadraque;Guadalajara;Castilla La Mancha;España
Jirueque;Guadalajara;Castilla La Mancha;España
Ledanca;Guadalajara;Castilla La Mancha;España
Loranca de Tajuña;Guadalajara;Castilla La Mancha;España
Lupiana;Guadalajara;Castilla La Mancha;España
Luzaga;Guadalajara;Castilla La Mancha;España
Luzón;Guadalajara;Castilla La Mancha;España
Majaelrayo;Guadalajara;Castilla La Mancha;España
Málaga del Fresno;Guadalajara;Castilla La Mancha;España
Malaguilla;Guadalajara;Castilla La Mancha;España
Mandayona;Guadalajara;Castilla La Mancha;España
Mantiel;Guadalajara;Castilla La Mancha;España
Maranchón;Guadalajara;Castilla La Mancha;España
Marchamalo;Guadalajara;Castilla La Mancha;España
Masegoso de Tajuña;Guadalajara;Castilla La Mancha;España
Matarrubia;Guadalajara;Castilla La Mancha;España
Matillas;Guadalajara;Castilla La Mancha;España
Mazarete;Guadalajara;Castilla La Mancha;España
Mazuecos;Guadalajara;Castilla La Mancha;España
Medranda;Guadalajara;Castilla La Mancha;España
Megina;Guadalajara;Castilla La Mancha;España
Membrillera;Guadalajara;Castilla La Mancha;España
Miedes de Atienza;Guadalajara;Castilla La Mancha;España
Mierla (La);Guadalajara;Castilla La Mancha;España
Millana;Guadalajara;Castilla La Mancha;España
Milmarcos;Guadalajara;Castilla La Mancha;España
Miñosa (La);Guadalajara;Castilla La Mancha;España
Mirabueno;Guadalajara;Castilla La Mancha;España
Miralrío;Guadalajara;Castilla La Mancha;España
Mochales;Guadalajara;Castilla La Mancha;España
Mohernando;Guadalajara;Castilla La Mancha;España
Molina de Aragón;Guadalajara;Castilla La Mancha;España
Monasterio;Guadalajara;Castilla La Mancha;España
Mondéjar;Guadalajara;Castilla La Mancha;España
Montarrón;Guadalajara;Castilla La Mancha;España
Moratilla de los Meleros;Guadalajara;Castilla La Mancha;España
Morenilla;Guadalajara;Castilla La Mancha;España
Muduex;Guadalajara;Castilla La Mancha;España
Navas de Jadraque (Las);Guadalajara;Castilla La Mancha;España
Negredo;Guadalajara;Castilla La Mancha;España
Ocentejo;Guadalajara;Castilla La Mancha;España
Olivar (El);Guadalajara;Castilla La Mancha;España
Olmeda de Cobeta;Guadalajara;Castilla La Mancha;España
Olmeda de Jadraque (La);Guadalajara;Castilla La Mancha;España
Ordial (El);Guadalajara;Castilla La Mancha;España
Orea;Guadalajara;Castilla La Mancha;España
Pálmaces de Jadraque;Guadalajara;Castilla La Mancha;España
Pardos;Guadalajara;Castilla La Mancha;España
Paredes de Sigüenza;Guadalajara;Castilla La Mancha;España
Pareja;Guadalajara;Castilla La Mancha;España
Pastrana;Guadalajara;Castilla La Mancha;España
Pedregal (El);Guadalajara;Castilla La Mancha;España
Peñalén;Guadalajara;Castilla La Mancha;España
Peñalver;Guadalajara;Castilla La Mancha;España
Peralejos de las Truchas;Guadalajara;Castilla La Mancha;España
Peralveche;Guadalajara;Castilla La Mancha;España
Pinilla de Jadraque;Guadalajara;Castilla La Mancha;España
Pinilla de Molina;Guadalajara;Castilla La Mancha;España
Pioz;Guadalajara;Castilla La Mancha;España
Piqueras;Guadalajara;Castilla La Mancha;España
Pobo de Dueñas (El);Guadalajara;Castilla La Mancha;España
Poveda de la Sierra;Guadalajara;Castilla La Mancha;España
Pozo de Almoguera;Guadalajara;Castilla La Mancha;España
Pozo de Guadalajara;Guadalajara;Castilla La Mancha;España
Prádena de Atienza;Guadalajara;Castilla La Mancha;España
Prados Redondos;Guadalajara;Castilla La Mancha;España
Puebla de Beleña;Guadalajara;Castilla La Mancha;España
Puebla de Valles;Guadalajara;Castilla La Mancha;España
Quer;Guadalajara;Castilla La Mancha;España
Rebollosa de Jadraque;Guadalajara;Castilla La Mancha;España
Recuenco (El);Guadalajara;Castilla La Mancha;España
Renera;Guadalajara;Castilla La Mancha;España
Retiendas;Guadalajara;Castilla La Mancha;España
Riba de Saelices;Guadalajara;Castilla La Mancha;España
Rillo de Gallo;Guadalajara;Castilla La Mancha;España
Riofrío del Llano;Guadalajara;Castilla La Mancha;España
Robledillo de Mohernando;Guadalajara;Castilla La Mancha;España
Robledo de Corpes;Guadalajara;Castilla La Mancha;España
Romanillos de Atienza;Guadalajara;Castilla La Mancha;España
Romanones;Guadalajara;Castilla La Mancha;España
Rueda de la Sierra;Guadalajara;Castilla La Mancha;España
Sacecorbo;Guadalajara;Castilla La Mancha;España
Sacedón;Guadalajara;Castilla La Mancha;España
Saelices de la Sal;Guadalajara;Castilla La Mancha;España
Salmerón;Guadalajara;Castilla La Mancha;España
San Andrés del Congosto;Guadalajara;Castilla La Mancha;España
San Andrés del Rey;Guadalajara;Castilla La Mancha;España
Santiuste;Guadalajara;Castilla La Mancha;España
Saúca;Guadalajara;Castilla La Mancha;España
Sayatón;Guadalajara;Castilla La Mancha;España
Selas;Guadalajara;Castilla La Mancha;España
Semillas;Guadalajara;Castilla La Mancha;España
Setiles;Guadalajara;Castilla La Mancha;España
Sienes;Guadalajara;Castilla La Mancha;España
Sigüenza;Guadalajara;Castilla La Mancha;España
Solanillos del Extremo;Guadalajara;Castilla La Mancha;España
Somolinos;Guadalajara;Castilla La Mancha;España
Sotillo (El);Guadalajara;Castilla La Mancha;España
Sotodosos;Guadalajara;Castilla La Mancha;España
Tamajón;Guadalajara;Castilla La Mancha;España
Taragudo;Guadalajara;Castilla La Mancha;España
Taravilla;Guadalajara;Castilla La Mancha;España
Tartanedo;Guadalajara;Castilla La Mancha;España
Tendilla;Guadalajara;Castilla La Mancha;España
Terzaga;Guadalajara;Castilla La Mancha;España
Tierzo;Guadalajara;Castilla La Mancha;España
Toba (La);Guadalajara;Castilla La Mancha;España
Tordellego;Guadalajara;Castilla La Mancha;España
Tordelrábano;Guadalajara;Castilla La Mancha;España
Tordesilos;Guadalajara;Castilla La Mancha;España
Torija;Guadalajara;Castilla La Mancha;España
Torre del Burgo;Guadalajara;Castilla La Mancha;España
Torrecuadrada de Molina;Guadalajara;Castilla La Mancha;España
Torrecuadradilla;Guadalajara;Castilla La Mancha;España
Torrejón del Rey;Guadalajara;Castilla La Mancha;España
Torremocha de Jadraque;Guadalajara;Castilla La Mancha;España
Torremocha del Campo;Guadalajara;Castilla La Mancha;España
Torremocha del Pinar;Guadalajara;Castilla La Mancha;España
Torremochuela;Guadalajara;Castilla La Mancha;España
Torrubia;Guadalajara;Castilla La Mancha;España
Tórtola de Henares;Guadalajara;Castilla La Mancha;España
Tortuera;Guadalajara;Castilla La Mancha;España
Tortuero;Guadalajara;Castilla La Mancha;España
Traíd;Guadalajara;Castilla La Mancha;España
Trijueque;Guadalajara;Castilla La Mancha;España
Trillo;Guadalajara;Castilla La Mancha;España
Uceda;Guadalajara;Castilla La Mancha;España
Ujados;Guadalajara;Castilla La Mancha;España
Utande;Guadalajara;Castilla La Mancha;España
Valdarachas;Guadalajara;Castilla La Mancha;España
Valdearenas;Guadalajara;Castilla La Mancha;España
Valdeavellano;Guadalajara;Castilla La Mancha;España
Valdeaveruelo;Guadalajara;Castilla La Mancha;España
Valdeconcha;Guadalajara;Castilla La Mancha;España
Valdegrudas;Guadalajara;Castilla La Mancha;España
Valdelcubo;Guadalajara;Castilla La Mancha;España
Valdenuño Fernández;Guadalajara;Castilla La Mancha;España
Valdepeñas de la Sierra;Guadalajara;Castilla La Mancha;España
Valderrebollo;Guadalajara;Castilla La Mancha;España
Valdesotos;Guadalajara;Castilla La Mancha;España
Valfermoso de Tajuña;Guadalajara;Castilla La Mancha;España
Valhermoso;Guadalajara;Castilla La Mancha;España
Valtablado del Río;Guadalajara;Castilla La Mancha;España
Valverde de los Arroyos;Guadalajara;Castilla La Mancha;España
Viana de Jadraque;Guadalajara;Castilla La Mancha;España
Villanueva de Alcorón;Guadalajara;Castilla La Mancha;España
Villanueva de Argecilla;Guadalajara;Castilla La Mancha;España
Villanueva de la Torre;Guadalajara;Castilla La Mancha;España
Villares de Jadraque;Guadalajara;Castilla La Mancha;España
Villaseca de Henares;Guadalajara;Castilla La Mancha;España
Villaseca de Uceda;Guadalajara;Castilla La Mancha;España
Villel de Mesa;Guadalajara;Castilla La Mancha;España
Viñuelas;Guadalajara;Castilla La Mancha;España
Yebes;Guadalajara;Castilla La Mancha;España
Yebra;Guadalajara;Castilla La Mancha;España
Yélamos de Abajo;Guadalajara;Castilla La Mancha;España
Yélamos de Arriba;Guadalajara;Castilla La Mancha;España
Yunquera de Henares;Guadalajara;Castilla La Mancha;España
Yunta (La);Guadalajara;Castilla La Mancha;España
Zaorejas;Guadalajara;Castilla La Mancha;España
Zarzuela de Jadraque;Guadalajara;Castilla La Mancha;España
Zorita de los Canes;Guadalajara;Castilla La Mancha;España
Ajofrín;Toledo;Castilla La Mancha;España
Alameda de la Sagra;Toledo;Castilla La Mancha;España
Albarreal de Tajo;Toledo;Castilla La Mancha;España
Alcabón;Toledo;Castilla La Mancha;España
Alcañizo;Toledo;Castilla La Mancha;España
Alcaudete de la Jara;Toledo;Castilla La Mancha;España
Alcolea de Tajo;Toledo;Castilla La Mancha;España
Aldea en Cabo;Toledo;Castilla La Mancha;España
Aldeanueva de Barbarroya;Toledo;Castilla La Mancha;España
Aldeanueva de San Bartolomé;Toledo;Castilla La Mancha;España
Almendral de la Cañada;Toledo;Castilla La Mancha;España
Almonacid de Toledo;Toledo;Castilla La Mancha;España
Almorox;Toledo;Castilla La Mancha;España
Añover de Tajo;Toledo;Castilla La Mancha;España
Arcicóllar;Toledo;Castilla La Mancha;España
Argés;Toledo;Castilla La Mancha;España
Azután;Toledo;Castilla La Mancha;España
Barcience;Toledo;Castilla La Mancha;España
Bargas;Toledo;Castilla La Mancha;España
Belvís de la Jara;Toledo;Castilla La Mancha;España
Borox;Toledo;Castilla La Mancha;España
Buenaventura;Toledo;Castilla La Mancha;España
Burguillos de Toledo;Toledo;Castilla La Mancha;España
Burujón;Toledo;Castilla La Mancha;España
Cabañas de la Sagra;Toledo;Castilla La Mancha;España
Cabañas de Yepes;Toledo;Castilla La Mancha;España
Cabezamesada;Toledo;Castilla La Mancha;España
Calera y Chozas;Toledo;Castilla La Mancha;España
Caleruela;Toledo;Castilla La Mancha;España
Calzada de Oropesa;Toledo;Castilla La Mancha;España
Camarena;Toledo;Castilla La Mancha;España
Camarenilla;Toledo;Castilla La Mancha;España
Campillo de la Jara (El);Toledo;Castilla La Mancha;España
Camuñas;Toledo;Castilla La Mancha;España
Cardiel de los Montes;Toledo;Castilla La Mancha;España
Carmena;Toledo;Castilla La Mancha;España
Carpio de Tajo (El);Toledo;Castilla La Mancha;España
Carranque;Toledo;Castilla La Mancha;España
Carriches;Toledo;Castilla La Mancha;España
Casar de Escalona (El);Toledo;Castilla La Mancha;España
Casarrubios del Monte;Toledo;Castilla La Mancha;España
Casasbuenas;Toledo;Castilla La Mancha;España
Castillo de Bayuela;Toledo;Castilla La Mancha;España
Cazalegas;Toledo;Castilla La Mancha;España
Cebolla;Toledo;Castilla La Mancha;España
Cedillo del Condado;Toledo;Castilla La Mancha;España
Cerralbos (Los);Toledo;Castilla La Mancha;España
Cervera de los Montes;Toledo;Castilla La Mancha;España
Chozas de Canales;Toledo;Castilla La Mancha;España
Chueca;Toledo;Castilla La Mancha;España
Ciruelos;Toledo;Castilla La Mancha;España
Cobeja;Toledo;Castilla La Mancha;España
Cobisa;Toledo;Castilla La Mancha;España
Consuegra;Toledo;Castilla La Mancha;España
Corral de Almaguer;Toledo;Castilla La Mancha;España
Cuerva;Toledo;Castilla La Mancha;España
Domingo Pérez;Toledo;Castilla La Mancha;España
Dosbarrios;Toledo;Castilla La Mancha;España
Erustes;Toledo;Castilla La Mancha;España
Escalona;Toledo;Castilla La Mancha;España
Escalonilla;Toledo;Castilla La Mancha;España
Espinoso del Rey;Toledo;Castilla La Mancha;España
Esquivias;Toledo;Castilla La Mancha;España
Estrella (La);Toledo;Castilla La Mancha;España
Fuensalida;Toledo;Castilla La Mancha;España
Gálvez;Toledo;Castilla La Mancha;España
Garciotum;Toledo;Castilla La Mancha;España
Gerindote;Toledo;Castilla La Mancha;España
Guadamur;Toledo;Castilla La Mancha;España
Guardia (La);Toledo;Castilla La Mancha;España
Herencias (Las);Toledo;Castilla La Mancha;España
Herreruela de Oropesa;Toledo;Castilla La Mancha;España
Hinojosa de San Vicente;Toledo;Castilla La Mancha;España
Hontanar;Toledo;Castilla La Mancha;España
Hormigos;Toledo;Castilla La Mancha;España
Huecas;Toledo;Castilla La Mancha;España
Huerta de Valdecarábanos;Toledo;Castilla La Mancha;España
Iglesuela (La);Toledo;Castilla La Mancha;España
Illán de Vacas;Toledo;Castilla La Mancha;España
Illescas;Toledo;Castilla La Mancha;España
Lagartera;Toledo;Castilla La Mancha;España
Layos;Toledo;Castilla La Mancha;España
Lillo;Toledo;Castilla La Mancha;España
Lominchar;Toledo;Castilla La Mancha;España
Lucillos;Toledo;Castilla La Mancha;España
Madridejos;Toledo;Castilla La Mancha;España
Magán;Toledo;Castilla La Mancha;España
Malpica de Tajo;Toledo;Castilla La Mancha;España
Manzaneque;Toledo;Castilla La Mancha;España
Maqueda;Toledo;Castilla La Mancha;España
Marjaliza;Toledo;Castilla La Mancha;España
Marrupe;Toledo;Castilla La Mancha;España
Mascaraque;Toledo;Castilla La Mancha;España
Mata (La);Toledo;Castilla La Mancha;España
Mazarambroz;Toledo;Castilla La Mancha;España
Mejorada;Toledo;Castilla La Mancha;España
Menasalbas;Toledo;Castilla La Mancha;España
Méntrida;Toledo;Castilla La Mancha;España
Mesegar de Tajo;Toledo;Castilla La Mancha;España
Miguel Esteban;Toledo;Castilla La Mancha;España
Mocejón;Toledo;Castilla La Mancha;España
Mohedas de la Jara;Toledo;Castilla La Mancha;España
Montearagón;Toledo;Castilla La Mancha;España
Montesclaros;Toledo;Castilla La Mancha;España
Mora;Toledo;Castilla La Mancha;España
Nambroca;Toledo;Castilla La Mancha;España
Nava de Ricomalillo (La);Toledo;Castilla La Mancha;España
Navahermosa;Toledo;Castilla La Mancha;España
Navalcán;Toledo;Castilla La Mancha;España
Navalmoralejo;Toledo;Castilla La Mancha;España
Navalmorales (Los);Toledo;Castilla La Mancha;España
Navalucillos (Los);Toledo;Castilla La Mancha;España
Navamorcuende;Toledo;Castilla La Mancha;España
Noblejas;Toledo;Castilla La Mancha;España
Noez;Toledo;Castilla La Mancha;España
Nombela;Toledo;Castilla La Mancha;España
Novés;Toledo;Castilla La Mancha;España
Numancia de la Sagra;Toledo;Castilla La Mancha;España
Nuño Gómez;Toledo;Castilla La Mancha;España
Ocaña;Toledo;Castilla La Mancha;España
Olías del Rey;Toledo;Castilla La Mancha;España
Ontígola;Toledo;Castilla La Mancha;España
Orgaz;Toledo;Castilla La Mancha;España
Oropesa;Toledo;Castilla La Mancha;España
Otero;Toledo;Castilla La Mancha;España
Palomeque;Toledo;Castilla La Mancha;España
Pantoja;Toledo;Castilla La Mancha;España
Paredes de Escalona;Toledo;Castilla La Mancha;España
Parrillas;Toledo;Castilla La Mancha;España
Pelahustán;Toledo;Castilla La Mancha;España
Pepino;Toledo;Castilla La Mancha;España
Polán;Toledo;Castilla La Mancha;España
Portillo de Toledo;Toledo;Castilla La Mancha;España
Puebla de Almoradiel (La);Toledo;Castilla La Mancha;España
Puebla de Montalbán (La);Toledo;Castilla La Mancha;España
Pueblanueva (La);Toledo;Castilla La Mancha;España
Puente del Arzobispo (El);Toledo;Castilla La Mancha;España
Puerto de San Vicente;Toledo;Castilla La Mancha;España
Pulgar;Toledo;Castilla La Mancha;España
Quero;Toledo;Castilla La Mancha;España
Quintanar de la Orden;Toledo;Castilla La Mancha;España
Quismondo;Toledo;Castilla La Mancha;España
Real de San Vicente (El);Toledo;Castilla La Mancha;España
Recas;Toledo;Castilla La Mancha;España
Retamoso de la Jara;Toledo;Castilla La Mancha;España
Rielves;Toledo;Castilla La Mancha;España
Robledo del Mazo;Toledo;Castilla La Mancha;España
Romeral (El);Toledo;Castilla La Mancha;España
San Bartolomé de las Abiertas;Toledo;Castilla La Mancha;España
San Martín de Montalbán;Toledo;Castilla La Mancha;España
San Martín de Pusa;Toledo;Castilla La Mancha;España
San Pablo de los Montes;Toledo;Castilla La Mancha;España
San Román de los Montes;Toledo;Castilla La Mancha;España
Santa Ana de Pusa;Toledo;Castilla La Mancha;España
Santa Cruz de la Zarza;Toledo;Castilla La Mancha;España
Santa Cruz del Retamar;Toledo;Castilla La Mancha;España
Santa Olalla;Toledo;Castilla La Mancha;España
Santo Domingo-Caudilla;Toledo;Castilla La Mancha;España
Sartajada;Toledo;Castilla La Mancha;España
Segurilla;Toledo;Castilla La Mancha;España
Seseña;Toledo;Castilla La Mancha;España
Sevilleja de la Jara;Toledo;Castilla La Mancha;España
Sonseca;Toledo;Castilla La Mancha;España
Sotillo de las Palomas;Toledo;Castilla La Mancha;España
Talavera de la Reina;Toledo;Castilla La Mancha;España
Tembleque;Toledo;Castilla La Mancha;España
Toboso (El);Toledo;Castilla La Mancha;España
Toledo;Toledo;Castilla La Mancha;España
Torralba de Oropesa;Toledo;Castilla La Mancha;España
Torre de Esteban Hambrán (La);Toledo;Castilla La Mancha;España
Torrecilla de la Jara;Toledo;Castilla La Mancha;España
Torrico;Toledo;Castilla La Mancha;España
Torrijos;Toledo;Castilla La Mancha;España
Totanés;Toledo;Castilla La Mancha;España
Turleque;Toledo;Castilla La Mancha;España
Ugena;Toledo;Castilla La Mancha;España
Urda;Toledo;Castilla La Mancha;España
Valdeverdeja;Toledo;Castilla La Mancha;España
Valmojado;Toledo;Castilla La Mancha;España
Velada;Toledo;Castilla La Mancha;España
Ventas con Peña Aguilera (Las);Toledo;Castilla La Mancha;España
Ventas de Retamosa (Las);Toledo;Castilla La Mancha;España
Ventas de San Julián (Las);Toledo;Castilla La Mancha;España
Villa de Don Fadrique (La);Toledo;Castilla La Mancha;España
Villacañas;Toledo;Castilla La Mancha;España
Villafranca de los Caballeros;Toledo;Castilla La Mancha;España
Villaluenga de la Sagra;Toledo;Castilla La Mancha;España
Villamiel de Toledo;Toledo;Castilla La Mancha;España
Villaminaya;Toledo;Castilla La Mancha;España
Villamuelas;Toledo;Castilla La Mancha;España
Villanueva de Alcardete;Toledo;Castilla La Mancha;España
Villanueva de Bogas;Toledo;Castilla La Mancha;España
Villarejo de Montalbán;Toledo;Castilla La Mancha;España
Villarrubia de Santiago;Toledo;Castilla La Mancha;España
Villaseca de la Sagra;Toledo;Castilla La Mancha;España
Villasequilla;Toledo;Castilla La Mancha;España
Villatobas;Toledo;Castilla La Mancha;España
Viso de San Juan (El);Toledo;Castilla La Mancha;España
Yébenes (Los);Toledo;Castilla La Mancha;España
Yeles;Toledo;Castilla La Mancha;España
Yepes;Toledo;Castilla La Mancha;España
Yuncler;Toledo;Castilla La Mancha;España
Yunclillos;Toledo;Castilla La Mancha;España
Yuncos;Toledo;Castilla La Mancha;España
Adanero;Ávila;Castilla León;España
Adrada (La);Ávila;Castilla León;España
Albornos;Ávila;Castilla León;España
Aldeanueva de Santa Cruz;Ávila;Castilla León;España
Aldeaseca;Ávila;Castilla León;España
Aldehuela (La);Ávila;Castilla León;España
Amavida;Ávila;Castilla León;España
Arenal (El);Ávila;Castilla León;España
Arenas de San Pedro;Ávila;Castilla León;España
Arevalillo;Ávila;Castilla León;España
Arévalo;Ávila;Castilla León;España
Aveinte;Ávila;Castilla León;España
Avellaneda;Ávila;Castilla León;España
Ávila;Ávila;Castilla León;España
Barco de Ávila (El);Ávila;Castilla León;España
Barraco (El);Ávila;Castilla León;España
Barromán;Ávila;Castilla León;España
Becedas;Ávila;Castilla León;España
Becedillas;Ávila;Castilla León;España
Bercial de Zapardiel;Ávila;Castilla León;España
Berlanas (Las);Ávila;Castilla León;España
Bernuy-Zapardiel;Ávila;Castilla León;España
Berrocalejo de Aragona;Ávila;Castilla León;España
Blascomillán;Ávila;Castilla León;España
Blasconuño de Matacabras;Ávila;Castilla León;España
Blascosancho;Ávila;Castilla León;España
Bohodón (El);Ávila;Castilla León;España
Bohoyo;Ávila;Castilla León;España
Bonilla de la Sierra;Ávila;Castilla León;España
Brabos;Ávila;Castilla León;España
Bularros;Ávila;Castilla León;España
Burgohondo;Ávila;Castilla León;España
Cabezas de Alambre;Ávila;Castilla León;España
Cabezas del Pozo;Ávila;Castilla León;España
Cabezas del Villar;Ávila;Castilla León;España
Cabizuela;Ávila;Castilla León;España
Canales;Ávila;Castilla León;España
Candeleda;Ávila;Castilla León;España
Cantiveros;Ávila;Castilla León;España
Cardeñosa;Ávila;Castilla León;España
Carrera (La);Ávila;Castilla León;España
Casas del Puerto;Ávila;Castilla León;España
Casasola;Ávila;Castilla León;España
Casavieja;Ávila;Castilla León;España
Casillas;Ávila;Castilla León;España
Castellanos de Zapardiel;Ávila;Castilla León;España
Cebreros;Ávila;Castilla León;España
Cepeda la Mora;Ávila;Castilla León;España
Chamartín;Ávila;Castilla León;España
Cillán;Ávila;Castilla León;España
Cisla;Ávila;Castilla León;España
Colilla (La);Ávila;Castilla León;España
Collado de Contreras;Ávila;Castilla León;España
Collado del Mirón;Ávila;Castilla León;España
Constanzana;Ávila;Castilla León;España
Crespos;Ávila;Castilla León;España
Cuevas del Valle;Ávila;Castilla León;España
Diego del Carpio;Ávila;Castilla León;España
Donjimeno;Ávila;Castilla León;España
Donvidas;Ávila;Castilla León;España
Espinosa de los Caballeros;Ávila;Castilla León;España
Flores de Ávila;Ávila;Castilla León;España
Fontiveros;Ávila;Castilla León;España
Fresnedilla;Ávila;Castilla León;España
Fresno (El);Ávila;Castilla León;España
Fuente el Saúz;Ávila;Castilla León;España
Fuentes de Año;Ávila;Castilla León;España
Gallegos de Altamiros;Ávila;Castilla León;España
Gallegos de Sobrinos;Ávila;Castilla León;España
Garganta del Villar;Ávila;Castilla León;España
Gavilanes;Ávila;Castilla León;España
Gemuño;Ávila;Castilla León;España
Gil García;Ávila;Castilla León;España
Gilbuena;Ávila;Castilla León;España
Gimialcón;Ávila;Castilla León;España
Gotarrendura;Ávila;Castilla León;España
Grandes y San Martín;Ávila;Castilla León;España
Guisando;Ávila;Castilla León;España
Gutierre-Muñoz;Ávila;Castilla León;España
Hernansancho;Ávila;Castilla León;España
Herradón de Pinares;Ávila;Castilla León;España
Herreros de Suso;Ávila;Castilla León;España
Higuera de las Dueñas;Ávila;Castilla León;España
Hija de Dios (La);Ávila;Castilla León;España
Horcajada (La);Ávila;Castilla León;España
Horcajo de las Torres;Ávila;Castilla León;España
Hornillo (El);Ávila;Castilla León;España
Hoyo de Pinares (El);Ávila;Castilla León;España
Hoyocasero;Ávila;Castilla León;España
Hoyorredondo;Ávila;Castilla León;España
Hoyos de Miguel Muñoz;Ávila;Castilla León;España
Hoyos del Collado;Ávila;Castilla León;España
Hoyos del Espino;Ávila;Castilla León;España
Hurtumpascual;Ávila;Castilla León;España
Junciana;Ávila;Castilla León;España
Langa;Ávila;Castilla León;España
Lanzahíta;Ávila;Castilla León;España
Llanos de Tormes (Los);Ávila;Castilla León;España
Losar del Barco (El);Ávila;Castilla León;España
Madrigal de las Altas Torres;Ávila;Castilla León;España
Maello;Ávila;Castilla León;España
Malpartida de Corneja;Ávila;Castilla León;España
Mamblas;Ávila;Castilla León;España
Mancera de Arriba;Ávila;Castilla León;España
Manjabálago;Ávila;Castilla León;España
Marlín;Ávila;Castilla León;España
Martiherrero;Ávila;Castilla León;España
Martínez;Ávila;Castilla León;España
Mediana de Voltoya;Ávila;Castilla León;España
Medinilla;Ávila;Castilla León;España
Mengamuñoz;Ávila;Castilla León;España
Mesegar de Corneja;Ávila;Castilla León;España
Mijares;Ávila;Castilla León;España
Mingorría;Ávila;Castilla León;España
Mirón (El);Ávila;Castilla León;España
Mironcillo;Ávila;Castilla León;España
Mirueña de los Infanzones;Ávila;Castilla León;España
Mombeltrán;Ávila;Castilla León;España
Monsalupe;Ávila;Castilla León;España
Moraleja de Matacabras;Ávila;Castilla León;España
Muñana;Ávila;Castilla León;España
Muñico;Ávila;Castilla León;España
Muñogalindo;Ávila;Castilla León;España
Muñogrande;Ávila;Castilla León;España
Muñomer del Peco;Ávila;Castilla León;España
Muñopepe;Ávila;Castilla León;España
Muñosancho;Ávila;Castilla León;España
Muñotello;Ávila;Castilla León;España
Narrillos del Álamo;Ávila;Castilla León;España
Narrillos del Rebollar;Ávila;Castilla León;España
Narros de Saldueña;Ávila;Castilla León;España
Narros del Castillo;Ávila;Castilla León;España
Narros del Puerto;Ávila;Castilla León;España
Nava de Arévalo;Ávila;Castilla León;España
Nava del Barco;Ávila;Castilla León;España
Navacepedilla de Corneja;Ávila;Castilla León;España
Navadijos;Ávila;Castilla León;España
Navaescurial;Ávila;Castilla León;España
Navahondilla;Ávila;Castilla León;España
Navalacruz;Ávila;Castilla León;España
Navalmoral;Ávila;Castilla León;España
Navalonguilla;Ávila;Castilla León;España
Navalosa;Ávila;Castilla León;España
Navalperal de Pinares;Ávila;Castilla León;España
Navalperal de Tormes;Ávila;Castilla León;España
Navaluenga;Ávila;Castilla León;España
Navaquesera;Ávila;Castilla León;España
Navarredonda de Gredos;Ávila;Castilla León;España
Navarredondilla;Ávila;Castilla León;España
Navarrevisca;Ávila;Castilla León;España
Navas del Marqués (Las);Ávila;Castilla León;España
Navatalgordo;Ávila;Castilla León;España
Navatejares;Ávila;Castilla León;España
Neila de San Miguel;Ávila;Castilla León;España
Niharra;Ávila;Castilla León;España
Ojos-Albos;Ávila;Castilla León;España
Orbita;Ávila;Castilla León;España
Oso (El);Ávila;Castilla León;España
Padiernos;Ávila;Castilla León;España
Pajares de Adaja;Ávila;Castilla León;España
Palacios de Goda;Ávila;Castilla León;España
Papatrigo;Ávila;Castilla León;España
Parral (El);Ávila;Castilla León;España
Pascualcobo;Ávila;Castilla León;España
Pedro-Rodríguez;Ávila;Castilla León;España
Pedro Bernardo;Ávila;Castilla León;España
Peguerinos;Ávila;Castilla León;España
Peñalba de Ávila;Ávila;Castilla León;España
Piedrahíta;Ávila;Castilla León;España
Piedralaves;Ávila;Castilla León;España
Poveda;Ávila;Castilla León;España
Poyales del Hoyo;Ávila;Castilla León;España
Pozanco;Ávila;Castilla León;España
Pradosegar;Ávila;Castilla León;España
Puerto Castilla;Ávila;Castilla León;España
Rasueros;Ávila;Castilla León;España
Riocabado;Ávila;Castilla León;España
Riofrío;Ávila;Castilla León;España
Rivilla de Barajas;Ávila;Castilla León;España
Salobral;Ávila;Castilla León;España
Salvadiós;Ávila;Castilla León;España
San Bartolomé de Béjar;Ávila;Castilla León;España
San Bartolomé de Corneja;Ávila;Castilla León;España
San Bartolomé de Pinares;Ávila;Castilla León;España
San Esteban de los Patos;Ávila;Castilla León;España
